1,50,0,915802.966402
1,50,1,819922.372128
1,70,0,1338929.693478
1,70,1,953083.561044
1,90,0,2610464.275770
1,90,1,1264541.164337
1,99,0,5043948.045418
1,99,1,1799165.424733
2,50,0,1022690.984339
2,50,1,863519.385903
2,70,0,1301816.266065
2,70,1,987207.820297
2,90,0,2587083.092530
2,90,1,1107726.943758
2,99,0,4973049.119763
2,99,1,1273283.213065
4,50,0,1303806.452344
4,50,1,966918.084626
4,70,0,1588974.036071
4,70,1,1091995.724438
4,90,0,2871743.601599
4,90,1,1244275.992149
4,99,0,5758926.112316
4,99,1,1383748.027136
6,50,0,1292621.314455
6,50,1,963968.777447
6,70,0,1626386.719323
6,70,1,967485.668816
6,90,0,2638717.122758
6,90,1,1179018.890768
6,99,0,5969225.716511
6,99,1,1427421.168412
8,50,0,1389519.571559
8,50,1,938360.090963
8,70,0,1679403.192251
8,70,1,1014201.959414
8,90,0,2497085.756559
8,90,1,1139797.498134
8,99,0,5915700.221803
8,99,1,1450006.827720
10,50,0,1381791.799895
10,50,1,906945.714926
10,70,0,1680107.172625
10,70,1,998175.412704
10,90,0,2468811.357986
10,90,1,1177267.998942
10,99,0,5869603.282407
10,99,1,1395211.335563
12,50,0,1420737.085125
12,50,1,876613.400023
12,70,0,1679833.851833
12,70,1,956039.783784
12,90,0,2549771.651534
12,90,1,1113194.840234
12,99,0,5891972.770896
12,99,1,1337570.385510
