1,50,0,1552598.424842
1,50,1,1198042.822136
1,70,0,2074724.523265
1,70,1,1273869.439121
1,90,0,3509966.426820
1,90,1,1502076.485554
1,99,0,6604963.537629
1,99,1,2141557.645678
2,50,0,1995119.050973
2,50,1,1585237.375486
2,70,0,2822879.531760
2,70,1,1620476.857644
2,90,0,4157842.685028
2,90,1,1778517.862535
2,99,0,8442679.220931
2,99,1,2010179.246176
4,50,0,2639392.617428
4,50,1,2150257.661613
4,70,0,3092016.888179
4,70,1,2108691.846444
4,90,0,4890985.676186
4,90,1,2126584.648142
4,99,0,10944251.855252
4,99,1,2420594.368475
6,50,0,2949565.874537
6,50,1,2383615.532158
6,70,0,3438493.969213
6,70,1,2367086.864365
6,90,0,5767179.760475
6,90,1,2257264.540362
6,99,0,13549271.689386
6,99,1,2554515.163027
8,50,0,3318467.318747
8,50,1,2233723.375359
8,70,0,3670892.585975
8,70,1,2201344.754181
8,90,0,6087038.657063
8,90,1,2242387.451981
8,99,0,12148960.438892
8,99,1,2448069.518246
10,50,0,2318647.622527
10,50,1,2181783.919084
10,70,0,2933292.414686
10,70,1,2150331.526288
10,90,0,4021624.839791
10,90,1,2216317.062117
10,99,0,13123785.069698
10,99,1,2350978.507700
12,50,0,2342735.332501
12,50,1,2199756.671533
12,70,0,2721384.649763
12,70,1,2136245.143701
12,90,0,4826225.419355
12,90,1,2198281.469463
12,99,0,9612992.343672
12,99,1,2343100.494374
